date,payee,category,amount
2026-01-02 10:00:00,Freelance Client - Pazi.ai,Freelance Income,13673.12
2026-01-02 11:00:00,Family Transfer,Transfers/P2P,2075.03
2026-01-03 14:32:00,Apollo Pharmacy,Health,-272.36
2026-01-04 15:49:00,Domino's,Food & Dining,-660.21
2026-01-05 17:06:00,Apollo Pharmacy,Health,-1459.96
2026-01-05 20:38:00,Zomato,Food & Dining,-795.83
2026-01-05 22:05:00,Local Clinic,Health,-1543.69
2026-01-06 12:29:00,DMart,Groceries,-1601.0
2026-01-08 09:54:00,Local Kirana Store,Groceries,-305.4
2026-01-12 15:44:00,Netflix,Entertainment,-245.39
2026-01-12 15:51:00,Local Kirana Store,Groceries,-1073.83
2026-01-13 09:13:00,Chai Point,Food & Dining,-753.78
2026-01-13 21:40:00,Jio Recharge,Bills & Utilities,-2639.51
2026-01-14 21:00:00,Netflix,Entertainment,-199.4
2026-01-16 21:09:00,BookMyShow,Entertainment,-290.36
2026-01-17 11:23:00,Myntra,Shopping,-4240.01
2026-01-18 19:05:00,Swiggy,Food & Dining,-697.3
2026-01-20 15:35:00,Blinkit,Groceries,-1084.96
2026-01-21 13:45:00,Groww SIP,Investments,-3285.19
2026-01-21 14:43:00,Local Clinic,Health,-1189.3
2026-01-23 20:14:00,Domino's,Food & Dining,-570.93
2026-01-24 09:37:00,Airtel Postpaid,Bills & Utilities,-902.67
2026-01-24 20:57:00,Flipkart,Shopping,-870.23
2026-01-25 10:55:00,Myntra,Shopping,-4865.06
2026-01-25 14:52:00,Netflix,Entertainment,-857.57
2026-01-26 12:44:00,Landlord - PG,Rent,-8000.0
2026-01-31 14:00:00,Electricity Board,Bills & Utilities,-472.87
2026-02-01 09:57:00,DMart,Groceries,-1828.03
2026-02-01 10:00:00,Freelance Client - Pazi.ai,Freelance Income,15150.13
2026-02-01 11:00:00,Family Transfer,Transfers/P2P,3618.14
2026-02-02 14:17:00,Domino's,Food & Dining,-794.73
2026-02-02 21:39:00,Netflix,Entertainment,-935.12
2026-02-02 22:52:00,Airtel Postpaid,Bills & Utilities,-2670.63
